media,drug,waste,pump_time,hour,vial_drug_mass,dil_rate
0,1,2,1720545735.2876556,0.0012569324999999998,0,0
0,1,2,1720545740.2978396,0.002648655277777778,0,0
0,1,2,1720545745.307946,0.004040355555555555,0,0
0,1,2,1720545750.320347,0.0054326875,0,0
0,1,2,1720545755.33307,0.00682511,0,0
0,1,2,1720545760.3439398,0.008217020833333333,0,0
0,1,2,1720545765.3505566,0.0096077325,0,0
0,1,2,1720545770.3612828,0.010999609444444444,0,0
0,1,2,1720545775.377486,0.012393001666666667,0,0
0,1,2,1720545780.3854551,0.013784099444444444,0,0
0,1,2,1720545785.3976073,0.015176371388888889,0,0
0,1,2,1720545790.40616,0.016567635,0,0
1,1,3,1720545795.417315,0.01795962166666667,0.0,0
0,1,2,1720545800.4300623,0.019352046388888888,0.0,0
0,1,2,1720545805.440469,0.020743834444444442,0.0,0
0,1,2,1720545810.4549007,0.022136720555555555,0.0,0
0,1,2,1720545815.4696825,0.023529726944444444,0.0,0
0,1,2,1720545820.4799411,0.024921464722222224,0.0,0
0,1,2,1720545825.490848,0.026313381944444443,0.0,0
0,1,2,1720545830.501527,0.027705235555555558,0.0,0
0,1,2,1720545835.5132113,0.029097372222222223,0.0,0
0,1,2,1720545840.5268455,0.030490046666666666,0.0,0
0,1,2,1720545845.5361316,0.03188151833333333,0.0,0
0,1,2,1720545850.54637,0.03327325083333334,0.0,0
1,1,3,1720545855.557615,0.03466526111111111,0.0,0
0,1,2,1720545860.5652268,0.03605626694444444,0.0,0
0,1,2,1720545865.5755377,0.03744801527777778,0.0,0
0,1,2,1720545870.5853922,0.03883961777777777,0.0,0
0,1,2,1720545875.5984845,0.040232165,0.0,0
0,1,2,1720545880.7566285,0.04166498666666667,0.0,0
0,1,2,1720545885.764437,0.04305604555555556,0.0,0
0,1,2,1720545890.776934,0.04444840611111111,0.0,0
0,1,2,1720545895.7870426,0.0458401025,0.0,0
0,1,2,1720545900.7980278,0.047232045,0.0,0
0,1,2,1720545905.8111277,0.04862456888888889,0.0,0
0,1,2,1720545910.8218188,0.05001643111111111,0.0,0
1,1,3,1720545915.8328846,0.051408388888888885,0.0,0
0,1,2,1720545920.8453403,0.052800739166666666,0.0,0
0,1,2,1720545925.8558314,0.05419254416666667,0.0,0
0,1,2,1720545930.8666465,0.05558443388888889,0.0,0
0,1,2,1720545935.8773437,0.056976292500000005,0.0,0
0,1,2,1720545940.8887074,0.05836834527777778,0.0,0
0,1,2,1720545945.8996773,0.05976028055555556,0.0,0
0,1,2,1720545950.9127703,0.061152804166666665,0.0,0
0,1,2,1720545955.9280577,0.0625459275,0.0,0
0,1,2,1720545960.9363205,0.06393712416666666,0.0,0
0,1,2,1720545965.9479158,0.06532923555555556,0.0,0
0,1,2,1720545970.9561172,0.06672039555555555,0.0,0
1,1,3,1720545975.9671,0.06811233333333333,0.0,0
0,1,2,1720545980.9784842,0.06950438777777779,0.0,0
0,1,2,1720545985.9881494,0.07089596138888889,0.0,0
0,1,2,1720545991.001326,0.07228851472222222,0.0,0
0,1,2,1720545996.0131137,0.07368067444444444,0.0,0
0,1,2,1720546001.0276387,0.07507360305555556,0.0,0
0,1,2,1720546006.0403554,0.07646602388888889,0.0,0
0,1,2,1720546011.0477831,0.07785697722222222,0.0,0
0,1,2,1720546016.060155,0.07924930277777777,0.0,0
0,1,2,1720546021.070815,0.08064115166666667,0.0,0
0,1,2,1720546026.085192,0.08203403277777778,0.0,0
0,1,2,1720546031.0952504,0.08342571166666667,0.0,0
0,2,3,1720546036.1048622,0.08481727416666668,1203.2432307692309,0
0,1,2,1720546041.1164074,0.08620936583333334,1203.2432307692309,0
0,1,2,1720546046.128083,0.08760150444444444,1203.2432307692309,0
0,1,2,1720546051.174745,0.08900335027777778,1203.2432307692309,0
0,1,2,1720546056.2515202,0.09041355999999999,1203.2432307692309,0
0,1,2,1720546061.3615675,0.09183302555555554,1203.2432307692309,0
0,1,2,1720546066.4752278,0.09325348027777779,1203.2432307692309,0
0,1,2,1720546071.595788,0.09467586305555555,1203.2432307692309,0
0,1,2,1720546076.6185982,0.09607108972222222,1203.2432307692309,0
0,1,2,1720546081.6404288,0.09746604305555555,1203.2432307692309,0
0,1,2,1720546086.6608365,0.09886060277777778,1203.2432307692309,0
0,1,2,1720546091.671931,0.10025257,1203.2432307692309,0
1,1,3,1720546096.719327,0.10165462333333333,1110.6860591715977,0
0,1,2,1720546101.8166745,0.1030705486111111,1110.6860591715977,0
0,1,2,1720546106.865809,0.1044730913888889,1110.6860591715977,0
0,1,2,1720546111.9379215,0.10588201277777778,1110.6860591715977,0
0,1,2,1720546116.9966776,0.10728722138888888,1110.6860591715977,0
0,1,2,1720546122.025698,0.10868417555555555,1110.6860591715977,0
0,1,2,1720546127.0350707,0.11007566277777778,1110.6860591715977,0
0,1,2,1720546132.0445688,0.11146718555555554,1110.6860591715977,0
0,1,2,1720546137.0605378,0.11286051555555557,1110.6860591715977,0
0,1,2,1720546142.0709429,0.114252295,1110.6860591715977,0
0,1,2,1720546147.0812078,0.11564403611111111,1110.6860591715977,0
0,1,2,1720546152.0945668,0.11703663166666667,1110.6860591715977,0
1,1,3,1720546157.1040044,0.11842814555555556,1025.2486700045517,0
0,1,2,1720546162.1186075,0.11982109,1025.2486700045517,0
0,1,2,1720546167.1292436,0.12121293611111111,1025.2486700045517,0
0,1,2,1720546172.1408546,0.12260504861111111,1025.2486700045517,0
0,1,2,1720546177.1576703,0.12399860111111112,1025.2486700045517,0
0,1,2,1720546182.1704485,0.1253910486111111,1025.2486700045517,0
0,1,2,1720546187.1818564,0.12678310416666666,1025.2486700045517,0
0,1,2,1720546192.194261,0.12817543888888888,1025.2486700045517,0
0,1,2,1720546197.202798,0.12956669944444443,1025.2486700045517,0
0,1,2,1720546202.2123053,0.13095823305555554,1025.2486700045517,0
0,1,2,1720546207.2192335,0.13234904611111112,1025.2486700045517,0
0,1,2,1720546212.2333977,0.13374185944444444,1025.2486700045517,0
1,1,3,1720546217.243024,0.13513342833333333,946.3833876965093,0
0,1,2,1720546222.256364,0.13652602277777778,946.3833876965093,0
0,1,2,1720546227.2695293,0.13791857194444446,946.3833876965093,0
0,1,2,1720546232.2800596,0.13931037694444445,946.3833876965093,0
0,1,2,1720546237.2897508,0.14070196694444445,946.3833876965093,0
0,1,2,1720546242.2988029,0.14209336944444445,946.3833876965093,0
0,1,2,1720546247.3081367,0.1434848502777778,946.3833876965093,0
0,1,2,1720546252.318124,0.14487651,946.3833876965093,0
0,1,2,1720546257.332406,0.1462693672222222,946.3833876965093,0
0,1,2,1720546262.3402593,0.14766043944444446,946.3833876965093,0
0,1,2,1720546267.3515065,0.149052455,946.3833876965093,0
0,1,2,1720546272.359958,0.15044368972222222,946.3833876965093,0
1,1,3,1720546277.371378,0.15183575194444443,873.5846655660087,0
0,1,2,1720546282.3845935,0.1532283083333333,873.5846655660087,0
0,1,2,1720546287.3964498,0.15462049083333335,873.5846655660087,0
0,1,2,1720546292.4040534,0.15601149250000002,873.5846655660087,0
0,1,2,1720546297.418048,0.15740426583333333,873.5846655660087,0
0,1,2,1720546302.4316938,0.1587969366666667,873.5846655660087,0
0,1,2,1720546307.4400315,0.16018815611111112,873.5846655660087,0
0,1,2,1720546312.4518504,0.16158032083333335,873.5846655660087,0
0,1,2,1720546317.463227,0.162972375,873.5846655660087,0
0,1,2,1720546322.4742935,0.16436434055555557,873.5846655660087,0
0,1,2,1720546327.4826782,0.16575555305555556,873.5846655660087,0
0,1,2,1720546332.4952238,0.16714793277777779,873.5846655660087,0
0,2,3,1720546337.5239067,0.16854478694444444,2009.629075907085,0
0,1,2,1720546342.660204,0.16997153833333334,2009.629075907085,0
0,1,2,1720546347.7472475,0.17138459194444444,2009.629075907085,0
0,1,2,1720546352.8446262,0.17280054416666665,2009.629075907085,0
0,1,2,1720546358.232702,0.1742972263888889,2009.629075907085,0
0,1,2,1720546363.337343,0.17571517972222223,2009.629075907085,0
0,1,2,1720546368.3577712,0.17710974861111112,2009.629075907085,0
0,1,2,1720546373.3695102,0.1785018958333333,2009.629075907085,0
0,1,2,1720546378.379342,0.17989351555555558,2009.629075907085,0
0,1,2,1720546383.3952239,0.1812868161111111,2009.629075907085,0
0,1,2,1720546388.4930263,0.18270287472222224,2009.629075907085,0
0,1,2,1720546393.563686,0.18411139083333333,2009.629075907085,0
1,1,3,1720546398.609018,0.18551287361111113,1855.0422239142324,0
0,1,2,1720546403.987659,0.18700693416666667,1855.0422239142324,0
0,1,2,1720546409.0714967,0.18841910833333333,1855.0422239142324,0
0,1,2,1720546414.1475136,0.18982910972222225,1855.0422239142324,0
0,1,2,1720546419.1603315,0.19122157222222222,1855.0422239142324,0
0,1,2,1720546424.1729932,0.19261397388888887,1855.0422239142324,0
0,1,2,1720546429.183428,0.19400576583333332,1855.0422239142324,0
0,1,2,1720546434.1987348,0.19539890555555556,1855.0422239142324,0
0,1,2,1720546439.2090542,0.1967906597222222,1855.0422239142324,0
0,1,2,1720546444.2214847,0.19818299722222224,1855.0422239142324,0
0,1,2,1720546449.230604,0.19957442055555555,1855.0422239142324,0
0,1,2,1720546454.2430668,0.2009667775,1855.0422239142324,0
1,1,3,1720546459.2561142,0.20235928833333333,1712.3466682285223,0
0,1,2,1720546464.2737355,0.20375307194444445,1712.3466682285223,0
0,1,2,1720546469.2847548,0.2051450241666667,1712.3466682285223,0
0,1,2,1720546474.3021657,0.20653874083333332,1712.3466682285223,0
0,1,2,1720546479.3117304,0.20793028833333332,1712.3466682285223,0
0,1,2,1720546484.3254056,0.2093229788888889,1712.3466682285223,0
0,1,2,1720546489.3387475,0.21071557222222223,1712.3466682285223,0
0,1,2,1720546494.352157,0.212108185,1712.3466682285223,0
0,1,2,1720546499.3652017,0.21350070138888888,1712.3466682285223,0
0,1,2,1720546504.3780878,0.21489317194444443,1712.3466682285223,0
0,1,2,1720546509.394007,0.2162864802777778,1712.3466682285223,0
0,1,2,1720546514.4069562,0.217678965,1712.3466682285223,0
1,1,3,1720546519.4184377,0.21907104638888888,1580.6276937494051,0
0,1,2,1720546524.4300952,0.22046317222222223,1580.6276937494051,0
0,1,2,1720546529.4431927,0.2218557011111111,1580.6276937494051,0
0,1,2,1720546534.4586112,0.22324886305555555,1580.6276937494051,0
0,1,2,1720546539.4709842,0.2246411925,1580.6276937494051,0
0,1,2,1720546544.4818487,0.22603310666666668,1580.6276937494051,0
0,1,2,1720546549.4943497,0.2274254636111111,1580.6276937494051,0
0,1,2,1720546554.5034232,0.22881687444444446,1580.6276937494051,0
0,1,2,1720546559.5161138,0.23020928722222223,1580.6276937494051,0
0,1,2,1720546564.5355265,0.23160356777777777,1580.6276937494051,0
0,1,2,1720546569.548461,0.2329960538888889,1580.6276937494051,0
0,1,2,1720546574.5635993,0.23438914305555555,1580.6276937494051,0
1,1,3,1720546579.5808225,0.23578281277777777,1459.040948076374,0
0,1,2,1720546584.5920634,0.23717482916666666,1459.040948076374,0
0,1,2,1720546589.6016364,0.23856638055555557,1459.040948076374,0
0,1,2,1720546594.613235,0.23995848833333333,1459.040948076374,0
0,1,2,1720546599.624416,0.24135048305555554,1459.040948076374,0
0,1,2,1720546604.6404915,0.24274383916666667,1459.040948076374,0
0,1,2,1720546609.6503785,0.244135455,1459.040948076374,0
0,1,2,1720546614.6593733,0.24552686055555556,1459.040948076374,0
0,1,2,1720546619.6686835,0.24691833583333334,1459.040948076374,0
0,1,2,1720546624.68489,0.24831171583333334,1459.040948076374,0
0,1,2,1720546629.6986072,0.2497044247222222,1459.040948076374,0
0,1,2,1720546634.7095,0.2510963408333333,1459.040948076374,0
