current,average,maxod,time,hour,temp,threads,min
0.02412573625904111,0.02412573625904111,0,1720466913.0954313,0.0012553172222222223,23.125,8,0.0
0.024000732444227426,0.024000732444227426,0,1720466918.1105814,0.002648413055555556,23.125,8,0.0
0.02387572862941374,0.02387572862941374,0,1720466923.1195948,0.004039811388888889,23.875,8,0.0
0.02387572862941374,0.02387572862941374,0,1720466928.1306896,0.005431781388888889,23.875,8,0.0
0.023125705740531632,0.023125705740531632,0,1720466933.140388,0.006823361111111111,23.875,7,0.0
0.023125705740531632,0.023125705740531632,0,1720466938.1552997,0.008216398055555555,23.9375,7,0.0
0.023750724814600055,0.023750724814600055,0,1720466943.166124,0.009608287777777778,23.9375,7,0.0
0.02362572099978637,0.02362572099978637,0,1720466948.1782668,0.011000546666666666,23.9375,7,0.0
0.023250709555345316,0.023250709555345316,0,1720466953.1885986,0.012392304166666668,23.9375,7,0.0
0.02300070192571795,0.02300070192571795,0,1720466958.2039278,0.013785456666666666,23.9375,7,0.0
0.023250709555345316,0.023250709555345316,0,1720466963.2123961,0.015176701388888889,23.9375,7,0.0
0.022750694296090578,0.022750694296090578,0,1720466968.2208107,0.016567927222222223,23.9375,7,0.0
0.023500717184972687,0.023500717184972687,0,1720466973.2325702,0.017960076111111112,23.9375,7,0.0
0.026125797296060058,0.026125797296060058,0,1720466978.2430458,0.019351879166666665,23.9375,7,0.0
0.02550077822199164,0.02550077822199164,0,1720466983.2555914,0.020744255555555556,24.0,7,0.0
0.02450074770348216,0.02450074770348216,0,1720466988.2667813,0.02213625277777778,24.0,7,0.0
0.023750724814600055,0.023750724814600055,0,1720466993.2769794,0.023527971944444444,23.9375,7,0.0
0.02387572862941374,0.02387572862941374,0,1720466998.288282,0.0249200025,24.0,7,0.0
0.02362572099978637,0.02362572099978637,0,1720467003.299402,0.02631197611111111,24.0,7,0.0
0.02362572099978637,0.02362572099978637,0,1720467008.3101456,0.027703849722222222,23.9375,7,0.0
0.023500717184972687,0.023500717184972687,0,1720467013.3212895,0.0290958375,23.9375,7,0.0
0.023500717184972687,0.023500717184972687,0,1720467018.3314753,0.030487546944444444,24.0,7,0.0
0.023375713370159,0.023375713370159,0,1720467023.3391745,0.03187858166666667,24.0,7,0.0
0.022625690481276894,0.022625690481276894,0,1720467028.3522246,0.03327109472222222,24.0,7,0.0
0.023125705740531632,0.023125705740531632,0,1720467033.364653,0.03466344,24.0,7,0.0
0.026500808740501113,0.026500808740501113,0,1720467038.379254,0.03605637972222222,24.0,7,0.0
0.0250007629627369,0.0250007629627369,0,1720467043.3932424,0.03744915277777777,24.0,7,0.0
0.024750755333109532,0.024750755333109532,0,1720467048.4062257,0.038841639444444444,24.0,7,0.0
0.024250740073854794,0.024250740073854794,0,1720467053.4202225,0.04023442972222222,24.0,7,0.0
0.023500717184972687,0.023500717184972687,0,1720467058.4329064,0.04162684138888889,24.0,7,0.0
0.023500717184972687,0.023500717184972687,0,1720467063.443404,0.04301864833333333,24.0,7,0.0
0.023250709555345316,0.023250709555345316,0,1720467068.4521832,0.04440997527777778,24.0,7,0.0
0.02287569811090426,0.02287569811090426,0,1720467073.4609866,0.04580130611111111,24.0625,7,0.0
0.023250709555345316,0.023250709555345316,0,1720467078.4707341,0.0471929025,24.0625,7,0.0
0.02387572862941374,0.02387572862941374,0,1720467083.480481,0.0485845025,24.0625,7,0.0
0.023125705740531632,0.023125705740531632,0,1720467088.4942183,0.04997720666666667,24.0625,7,0.0
0.023250709555345316,0.023250709555345316,0,1720467093.5044599,0.05136894138888889,24.0625,7,0.0
0.02800085451826533,0.02800085451826533,0,1720467098.5152123,0.05276081111111111,24.0625,7,0.0
0.0250007629627369,0.0250007629627369,0,1720467103.5256703,0.05415260861111111,24.0625,7,0.0
0.024375743888668477,0.024375743888668477,0,1720467108.538606,0.05554509055555555,24.0625,7,0.0
0.024000732444227426,0.024000732444227426,0,1720467113.5498497,0.05693710138888889,24.0625,7,0.0
0.02387572862941374,0.02387572862941374,0,1720467118.5645852,0.058330084166666664,24.0625,7,0.0
0.024250740073854794,0.024250740073854794,0,1720467123.5843196,0.05972445611111111,24.0625,7,0.0
0.024750755333109532,0.024750755333109532,0,1720467128.5940402,0.0611160475,24.0625,7,0.0
0.024375743888668477,0.024375743888668477,0,1720467133.6051583,0.06250801916666666,24.0625,7,0.0
0.02362572099978637,0.02362572099978637,0,1720467138.6198382,0.06390098833333333,24.0625,7,0.0
0.023750724814600055,0.023750724814600055,0,1720467143.630784,0.06529291138888889,24.0625,7,0.0
0.02362572099978637,0.02362572099978637,0,1720467148.641695,0.06668484027777778,24.0625,7,0.0
0.024000732444227426,0.024000732444227426,0,1720467153.6517882,0.06807653222222222,24.0625,7,0.0
0.02750083925901059,0.02750083925901059,0,1720467158.6631439,0.06946856555555556,24.0625,7,0.0
0.02575078585161901,0.02575078585161901,0,1720467163.6714683,0.07085977694444445,24.0625,7,0.0
0.02525077059236427,0.02525077059236427,0,1720467168.6805499,0.07225118944444445,24.0625,7,0.0
0.023500717184972687,0.023500717184972687,0,1720467173.6911705,0.07364302555555556,24.0625,7,0.0
0.023750724814600055,0.023750724814600055,0,1720467178.7006848,0.07503456,24.0625,7,0.0
0.023500717184972687,0.023500717184972687,0,1720467183.7129922,0.07642686805555556,24.0625,7,0.0
0.02387572862941374,0.02387572862941374,0,1720467188.7227998,0.07781847111111112,24.0625,7,0.0
0.023500717184972687,0.023500717184972687,0,1720467193.7338245,0.07921043222222222,24.0625,7,0.0
